Gene,IR_039,IR_046,PD_016,IR_031,PD_021,IR_047,IR_002,PD_028,IR_050,IR_016,IR_019,PD_025,IR_027,PD_029,IR_020,HR_056,HR_063,PD_001,HR_048,PD_006,HR_064,HR_019,PD_013,HR_067,HR_033,HR_036,PD_010,HR_044,PD_014,HR_037
MBIP,11,10,0,14,46,5,0,25,0,13,28,0,1,0,0,3,53,0,15,0,0,20,74,0,14,0,0,10,0,54
MBL1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBL2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBLAC1,0,54,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
MBLAC2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,68,0,0,0,0,0,0,0,0,0
MBNL1,348,116,4,156,611,1273,7342,444,174,459,228,0,101,4704,360,21,0,287,375,1,0,68,4,318,438,91,2253,0,1066,0
MBNL2,621,623,144,332,794,2314,893,704,263,928,40,1391,191,0,419,260,0,0,1116,0,71,527,2042,0,275,180,0,154,0,0
MBNL3,31,54,0,137,0,0,0,157,0,66,0,0,0,0,0,3,0,0,136,0,0,0,0,0,1,0,0,0,0,0
MBOAT1,139,19,0,80,0,0,0,0,243,58,74,1,25,0,62,34,0,0,12,0,136,0,0,0,59,0,0,0,0,274
MBOAT2,402,833,499,192,351,1252,963,144,273,952,543,874,121,586,1231,63,277,0,282,503,256,764,0,687,541,469,0,0,0,629
MBOAT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT7,6856,4935,1909,6409,5909,5053,942,7612,8810,2611,10126,0,5224,2666,9357,2881,1673,4701,1261,0,1035,806,4512,771,2011,1650,3758,2200,0,1709
MBP,423,321,185,518,165,204,426,360,384,338,820,847,327,169,725,411,226,79,248,95,143,208,213,202,331,128,83,108,0,388
MBTD1,241,103,525,151,196,176,218,49,49,343,237,213,89,0,129,86,0,220,95,0,235,109,0,0,293,74,749,0,0,347
MBTPS1,185,173,1162,319,0,20,490,570,30,73,138,0,63,2301,81,106,0,104,364,0,0,220,913,0,100,250,0,0,0,0
MBTPS2,121,42,0,85,420,225,0,384,0,92,60,94,32,0,160,112,0,0,0,0,0,157,0,0,11,134,0,97,0,1659
MC2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC3R,0,0,94,0,1,0,0,0,9,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC4R,0,14,0,0,0,28,0,0,0,0,0,93,1,0,0,1,0,0,0,0,30,0,0,0,5,0,0,0,141,0
MC5R,0,3,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,44
MCAM,4,0,0,0,0,0,0,0,0,0,2,0,4,0,13,0,0,0,7,0,15,0,0,0,33,29,60,0,0,0
SLC25A51,11,3,0,25,0,14,14,0,9,10,8,0,5,0,19,13,0,0,5,0,34,2,0,0,10,6,0,0,0,0
SLC25A52,0,14,0,0,0,0,0,131,0,20,0,304,13,0,0,0,0,0,0,6,0,0,878,0,4,0,0,0,0,0
SLC25A51P1,0,0,140,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,284,0
SLC25A53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCAT,30,61,0,0,0,0,0,0,9,55,36,0,0,0,0,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0
MCC,454,657,1622,84,0,1611,0,405,206,693,34,2001,149,0,100,225,0,0,287,1100,102,545,0,0,243,22,0,0,0,252
MCCC1,188,11,0,61,277,104,231,0,34,239,42,0,56,0,27,6,0,178,51,0,71,32,434,0,133,99,0,43,0,53
MCCC2,379,608,93,217,364,1175,440,0,215,1204,67,0,474,0,326,230,0,1145,498,0,875,1734,1586,0,378,775,2376,131,0,809
MCCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEE,1,5,0,3,4,13,14,1,0,2,0,29,1,0,7,1,1,0,4,0,1,5,18,7,2,3,0,6,0,0
MCF2,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCF2L,156,0,0,43,0,56,433,0,136,289,17,0,21,0,58,0,0,0,0,0,0,126,0,0,46,0,0,0,3,310
MCF2L2,56,0,0,0,0,0,0,0,23,262,44,0,47,0,0,15,0,0,89,0,0,0,0,0,0,0,0,0,0,0
MCFD2,289,493,245,74,321,629,653,116,407,711,65,219,111,0,532,110,60,205,178,577,144,331,0,0,369,66,0,311,0,134
MCHR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCL1,4779,4074,596,6068,683,3278,2517,1052,6486,3386,7807,320,3974,227,7718,3429,3859,588,2261,91,2265,1406,1870,115,3229,2665,201,2827,0,2528
MCM10,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MCM2,66,41,0,33,125,214,0,0,29,0,45,0,15,0,0,46,0,211,70,0,0,0,0,0,34,0,0,0,0,123
MCM3,38,23,1,0,67,26,131,0,8,0,32,0,10,0,7,65,0,0,184,0,0,26,0,0,20,12,0,0,0,2
MCM3AP,395,172,124,302,162,282,0,0,182,494,200,0,339,0,112,367,0,558,416,0,54,323,0,0,130,296,0,176,0,48
MCM4,470,0,0,91,0,455,98,0,87,78,0,0,50,0,0,53,0,1,234,0,73,246,0,0,32,119,0,0,0,444
MCM5,400,120,205,67,719,170,302,103,135,193,156,0,197,0,41,75,356,122,331,0,199,115,733,0,71,53,0,119,0,41
MCM6,175,33,0,0,0,95,583,0,0,159,51,0,34,0,91,218,0,0,169,0,0,0,0,0,0,95,0,530,0,0
MCM7,249,115,0,0,0,182,367,424,25,373,146,0,105,0,207,134,0,0,592,155,0,9,28,0,96,0,0,0,0,0
MCM8,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
MCM9,27,0,0,10,0,0,0,0,78,0,47,0,5,0,63,17,0,0,192,0,0,0,0,0,116,0,0,0,0,0
MCMBP,217,262,723,75,443,101,570,318,295,177,610,0,106,883,418,106,492,95,266,0,225,219,1343,253,148,289,0,162,0,339
MCOLN1,1475,3059,466,1281,2126,1877,455,1354,704,1404,771,2396,1580,0,3079,1345,1590,1522,754,0,492,1617,0,0,562,106,0,166,49,1624
